site_id,device_id,cookie_id,data_installed,channel,source,medium,campaign,platform,country,area,city,ip,device_brand,device_model,os_version,is_his_install,active_in_8_14_label,active_in_8_14_probability,active_in_84_90_label,active_in_84_90_probability,activity_half_reduced_8_14_label,activity_half_reduced_8_14_probability
600,9EB751FC-D466-4A53-8AD7-12457A01A911,J704C95B-117E-42FF-9985-1A8CF5CA0A85,20180606,Facebook 智能,Facebook Ads,CPI,appauto_2708_audience_network_SA_male_ios_iPhone_age18-65_interest_landingpage_28_Carousel_20180505_110424_plan-158_detail-711_cpm_new_image,ios,SA,GCC1,Jiddah,188.54.138.60,0,0,11.3.1,0,0,0.18527282871077347,0,0.12025095709413762,1,0.8147271712892267
600,F0E3E534-C9E4-449B-B51C-D2617127030A,J7134CE1-2172-42AC-B9E7-CB411F84BEA0,20180424,DSP 代投,mobuppagency,CPI,3733_10288,ios,SA,GCC1,Sabya,51.36.214.112,0,0,11.2.5,0,0,0.35614929062721723,0,0.08180550128447908,1,0.6438507093727829
600,049552DC-D39E-446C-A260-7EACF67DCA19,J71F6942-BFDC-421A-9789-2F3EDC978864,20180606,organic,Organic,None,0,ios,AE,GCC2,Shati' Ar Rahah,176.205.227.76,0,0,10.2.1,1,1,0.9319107010100752,0,0.7217172731470997,0,0.06808929898992493
600,DBA85C6C-C90C-4C0B-B10B-FF7011D2B19A,J722FFAD-CD85-4884-B94E-66616AAC995E,20180606,organic,Organic,None,0,ios,OM,GCC1,Al Seeb,82.178.166.18,0,0,11.3.1,0,0,0.2300749031868014,0,0.029205380672329896,1,0.7699250968131985
600,81CBC662-EFB9-4F91-A916-9777A63F6E1F,J73B0B6E-9071-4AB9-BF4E-51DF6C825FF3,20180518,Twitter包屏,Twitter,CPI,Jollychic_SA_Trend_VideoCard_20180518 - Saudi Arabia,ios,SA,GCC1,Riyadh,95.184.57.51,0,0,11.3.1,0,0,0.20354207442109362,0,0.012777777777777777,1,0.7964579255789063
600,6A665AD4-9118-4F10-85BD-96FDCA12D50A,J73E720F-7220-4765-B3DD-C54A2383BD7C,20180523,organic,Organic,None,0,ios,SA,GCC1,Riyadh,151.254.68.89,0,0,10.2,0,1,0.62516637111879,0,0.016206896551724137,0,0.3748336288812099
600,EEDE8227-C195-4509-A852-528D507C53C9,J74201C7-3C45-4EA1-A424-034948AF1982,20180518,snapchat,snapchat_int,CPI,app_snap_kw_ios_wh_haya_display_cpi_0516,ios,KW,GCC2,Jalib Ash Shuyukh,188.71.226.111,0,0,11.0.2,0,0,0.4395308396056169,0,0.05763317963008635,1,0.5604691603943831
600,9D876A68-1618-4664-AC6C-87B2C27139ED,J7427710-649F-45F3-AC4A-74B05383A070,20180417,Media Buy 代投,Facebook Ads,CPI,appfloodaff_jollymb_kw_ios_female_11148,ios,KW,GCC2,As Salimiyah,188.71.216.73,0,0,11.3,0,0,0.3389688372988939,0,0.1697258756389444,1,0.6610311627011062
600,F1C14663-E35C-4DE4-9107-259B68457B68,J7429EA1-621C-4B9E-B2E9-246DEA206BAE,20180524,DSP 代投,appia_int,CPI,5600_s5530667,ios,SA,GCC1,Riyadh,95.218.44.161,0,0,11.0.3,0,0,0.11817964793871781,0,0.02375740189753011,1,0.8818203520612822
600,FE6EF15A-F565-4111-95F8-7B8639C9960F,J7458F7B-6071-4601-AD8E-151EF7E47AA4,20180502,organic,Organic,None,0,ios,SA,GCC1,Jiddah,31.166.151.27,0,0,11.3,0,0,0.7326877458535277,0,0.08167215309949741,1,0.2673122541464724
